mask,bbdc3,bbdc4
2023 01 03 10 09 00.000,13.15,14.75
2023 01 03 10 10 00.000,13.1,14.68
2023 01 03 10 11 00.000,13.1,14.65
2023 01 03 10 12 00.000,13.1,14.63
2023 01 03 10 13 00.000,13.05,14.61
2023 01 03 10 14 00.000,13.05,14.6
2023 01 03 10 15 00.000,13.05,14.59
2023 01 03 10 16 00.000,13.02,14.59
2023 01 03 10 17 00.000,13.02,14.59
2023 01 03 10 18 00.000,13.03,14.55
2023 01 03 10 19 00.000,13.03,14.58
2023 01 03 10 20 00.000,13.02,14.57
2023 01 03 10 21 00.000,12.98,14.5
2023 01 03 10 22 00.000,12.98,14.48
2023 01 03 10 23 00.000,12.92,14.41
2023 01 03 10 24 00.000,12.94,14.44
2023 01 03 10 25 00.000,12.9,14.37
2023 01 03 10 26 00.000,12.87,14.36
2023 01 03 10 27 00.000,12.9,14.39
2023 01 03 10 28 00.000,12.9,14.36
2023 01 03 10 29 00.000,12.9,14.35
2023 01 03 10 30 00.000,12.86,14.34
2023 01 03 10 31 00.000,12.86,14.35
2023 01 03 10 32 00.000,12.84,14.28
2023 01 03 10 33 00.000,12.77,14.19
2023 01 03 10 34 00.000,12.77,14.24
2023 01 03 10 35 00.000,12.77,14.19
2023 01 03 10 36 00.000,12.77,14.23
2023 01 03 10 37 00.000,12.77,14.3
2023 01 03 10 38 00.000,12.85,14.32
2023 01 03 10 39 00.000,12.85,14.35
2023 01 03 10 40 00.000,12.85,14.35
2023 01 03 10 41 00.000,12.84,14.35
2023 01 03 10 42 00.000,12.84,14.34
2023 01 03 10 43 00.000,12.84,14.32
2023 01 03 10 44 00.000,12.89,14.37
2023 01 03 10 45 00.000,12.89,14.37
2023 01 03 10 46 00.000,12.89,14.33
2023 01 03 10 47 00.000,12.89,14.32
2023 01 03 10 48 00.000,12.89,14.31
2023 01 03 10 49 00.000,12.86,14.34
2023 01 03 10 50 00.000,12.86,14.34
2023 01 03 10 51 00.000,12.86,14.34
2023 01 03 10 52 00.000,12.84,14.3
2023 01 03 10 53 00.000,12.81,14.3
2023 01 03 10 54 00.000,12.83,14.33
2023 01 03 10 55 00.000,12.83,14.33
2023 01 03 10 56 00.000,12.83,14.34
2023 01 03 10 57 00.000,12.85,14.33
2023 01 03 10 58 00.000,12.85,14.33
2023 01 03 10 59 00.000,12.84,14.33
2023 01 03 11 00 00.000,12.85,14.33
2023 01 03 11 01 00.000,12.85,14.33
2023 01 03 11 02 00.000,12.85,14.33
2023 01 03 11 03 00.000,12.83,14.33
2023 01 03 11 04 00.000,12.83,14.35
